ResourceID,EventUID,RecordType,Name Type,Name,DateFrom,DateTo,Description Type,Description,Notes
00a6498e-04eb-48f5-a5d9-96997bb1626d,ELO18027,Backlog Report - Invisible,Primary,Event/Activity at Ravensbury Grove,2016-01-01,2016-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
00a8cbd4-516e-4e59-be82-abcb326c0f2e,ELO9058,Backlog Report,Primary,Event/Activity at Sevenoaks Way,1997-01-01,1997-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
00af5d3e-d6ad-491e-b7f9-0710fc6416f9,ELO17508,Backlog Report,Primary,Desk Based Assessment at Former Police Station Site,2017-07-01,2017-07-31,Full,"CgMs Consulting compiled an archaeological desk based assessment of the site of the Former Police Station in Brentford.  It was concluded that there is a low to moderate potential for archaeological remains dating to the Prehistoric period, moderate potential for Roman archaeological remains, low to moderate potential for Anglo-Saxon and Medieval remains, and potential for Post Medieval and modern remains. Any potential remains are thought to be of local significance.  The construction of the existing building is thought to have had a severe and negative impact on any surviving archaeology, as would the construction and demolition of any previous buildings on the site.",
00b944b8-35f9-42b7-910f-4a6e0117febd,ELO14375,Backlog Report,Primary,Event/Activity at Merton Abbey Mills,2002-09-25,2002-09-27,Full,"Geophysical survey undertaken in conjunction with a 'Time Team' excavation in 2002 to locate the former Liberty's works at Merton Abbey Mills. Site 1 was surveyed using ground penetrating radar, and Site 2 by resistance survey,","GIS polygons taken from site report.  Mapped at 1:1,250 scale using OS Mastermap.  Approximate location of survey areas."
00bfad77-d647-48e8-a532-7b9acd002f50,ELO2431,Backlog Report,Primary,Excavation at Cannon Street Railway Bridge,2001-05-01,2001-05-31,Backlog,No description is currently available for this record.  Awaiting update.,
00d20539-9f39-40f5-975b-6df8bd0eeffe,ELO17373,Backlog Report - Invisible,Primary,Event/Activity at Kingston University,2017-01-01,2017-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
00f5bd20-3fd9-4d83-952b-17e2a3cac9ed,ELO12823,Backlog Report,Primary,Event/Activity at YMCA,2012-12-01,2012-12-31,Full,"A desk based assessment was undertaken on the site of the YMCA at Errol Street, Islington by L-P Archaeology in December 2012.  The site is thought to have a high archaeological potential for all periods, particularly for the Post Medieval period as the site has been developed since the 17th Century.",A GIS polygon was drawn over the approximate area of the site. Mapped at 1:1250 using OS MasterMap as a base.
00f5d301-cfed-4a4f-a26d-b501f449f0dc,ELO14255,Backlog Report,Primary,Event/Activity at The Baltic Exchange,1994-08-01,1994-08-31,Full,A desk based assessment was undertaken on the Baltic Exchange in August 1994 by the Museum of London Archaeology Service.  The site is considered to have a high potential for all periods of human activity with the Prehistoric and Roman periods being the best preserved. Remains of the 16th Century Fletchers Hall may survive.,A GIS polygon was drawn over the approximate area of the site. Mapped at 1:1250 using OS MasterMap as a base.
010d5c0e-0c76-40ed-b3e3-2c5547017b12,ELO12981,Backlog Report,Primary,Event/Activity at Spankers Hill,2013-02-12,2013-02-13,Full,"An evaluation was undertaken at Spankers Hill, Renfrew Road, Coombe by Archaeology South East between the 12th and 13th February 2013. The site comprised four hand dug test pits.  The test pits revealed domestic activity of a relatively recent date. The earliest features were linears of an 18th to 19th Century date. The remaining features were of a 20th centruy date.",GIS points were located over the approximate location of the test pits. Mapped at 1:1250 using OS MasterMap as a base.
011ffc75-de3c-4c15-9a73-de43e65cd8ed,ELO18597,Backlog Report,Primary,Building Survey at Wallis Road,2017-07-25,2017-07-26,Full,"In July 2017 Archaeology South-East conducted a historic buildings recording of 80-84 and 88 Wallis Road.  The survey of the buildings was conducted to Level 3 as defined by Historic England (2016).  It was found that the buildings illustrate the development of the industrial site from the mid/late 19th Century to the present day. Most of the buildings can trace their construction or current appearance to the work of S. Spegelstein and Sons in the mid 20th Century. The north-east corner building at 88 Wallis Road has a well preserved late 19th/early 20th Century appearance. It illustrates the form, style and appearance of industrial buildings of this date well. This building formed part of the Clarnico confectionary works. 80-84 Wallis Road has been more substantially developed but a remnant of a late 19th Century range (which formed part of a chemical works) remains encased within the buildings.",A GIS polygon was created over the approximate location of the site using OS Master Map as a map base at 1:1250.
012cda89-c61e-4531-b360-9014a6431312,ELO14822,Backlog Report,Primary,Event/Activity at Chiswick House,2007-01-12,2007-01-22,Full,"As part of the Chiswick House and Grounds Regeneration Project, English Heritage's Archaeological Projects Team undertook an archaeological evaluation in January 2007. Several of the walls of the late 17th Century L-Shaped Service Building were excavated and recorded, as well as further evidence for the later modifications to its design and layout. Evidence of the former use of the western room of the building range as a laundry was revealed, with a drainage channel through the building's outer wall leading to a brick drainage culvert. In the garden to the north and west of the Service Building, further evidence for the layout of the 19th Century design was excavated and recorded.  Five iron nails, a clay pipe bowl with Masonic symbols dating from the early 19th Century, a fragment of a stone whetstone, a green glass seal, a small bone die and a 1946 George IV penny were found.",A polygon covering the approximate area of the site was dran at a scale of 1:1250 using OS MasterMap data as a base.
0170d88a-e96d-4c1b-8d4c-e1fd553f1cfd,ELO11257,Backlog Report,Primary,Event/Activity at Kew Towpath Embankment,2009-10-19,2009-11-20,Full,"A foreshore survey and watching brief was carried out on the Thames Foreshore along the Kew Towpath Embankment by Museum of London Archaeology in 2009.  The survey identified the remains of a timber drain, a jetty and a concrete wall at the base of the river wall.  The watching brief found a row of posts dating to the 19th or early 20th Century over a distance of about 63.5m which may have been associated with the construction of the present embankment. *Natural deposits of sandy clay were observed 0.65m below the current ground surface.*",A polygon was drawn over the approximate area of the site at a scale of 1:1250 OS based on Master Map and a site location plan in the report.
0193c6be-65aa-4fb3-89cf-20992b2a9a86,ELO18357,Backlog Report - Invisible,Primary,Event/Activity at Watling Street,2017-01-01,2017-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
01a579c7-8f83-4e41-81a5-b8a61d24f931,ELO10863,Backlog Report,Primary,Event/Activity at Lower Richmond Road,1994-02-01,1994-02-28,Backlog,No description is currently available for this record.  Awaiting update.,
01a7d785-9a71-41fd-bcba-744a2d70429f,ELO18567,Backlog Report - Invisible,Primary,Event/Activity at The Stag Brewery,2018-01-01,2018-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
01ac913c-5e6f-4438-8c0a-d2858ca3d76f,ELO18693,Backlog Report - Invisible,Primary,Event/Activity at Euston Road,2018-01-01,2018-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
01c61234-eec8-4e57-a661-9e2d035d0427,ELO3889,Backlog Report,Primary,Open Area Excavation at Link Street,1995-01-01,1995-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
01d3fe5f-7a3e-433f-83ba-1593ddece6e8,ELO9610,Backlog Report,Primary,Event/Activity at Tudor Street,1996-09-01,1996-09-30,Backlog,No description is currently available for this record.  Awaiting update.,
01d5d501-1d19-49ba-aac1-8897cfaf71d9,ELO15488,Backlog Report,Primary,Watching Brief at Lea Bridge Road,2004-01-13,2004-01-21,Full,"In January 2004 an archaeological watching brief was maintained by Museum of London Archaeology Service during the geotechnical borehole survey and window sampling at 142 Lea Bridge Road. A total of six Boreholes (BH1-6) and five Window Samples (7-11) were undertaken. The natural varied from 4.45m OD (BH 5) to 4.10m (BH 3) at the west of the site, and 3.16m OD (BH 2) to 2.90m OD (BH 1) to the east of the site. Archaeological evidence for a Post Medieval dock and a gravel deposit representing a Roman road was recorded during the survey.",A GIS polygon was mapped over the approximate location of the site using MasterMap as a base at 1:1250
01d94b6e-2048-4731-8e6c-fd8032ac7727,ELO14154,Backlog Report,Primary,Event/Activity at Sloeman's Farm,2014-03-01,2014-03-31,Full,"A desk based assessment was undertaken on land at Sloeman's Farm, Enfield in March 2014 by Minerva Heritage. It was concluded that there was unlikely to be significant archaeological remains on the site and known assets were likely to be of limited interest.",A GIS polygon was drawn over the approximate area of the site. Mapped at 1:1250 using OS MasterMap as a base.
01ddf7f9-77b7-4533-9009-8d43c3bd15a5,ELO17306,Backlog Report - Invisible,Primary,Event/Activity at Footings of the Western Chimney Stack,2001-01-01,2001-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
01e18740-9622-4ae7-ba21-aeef5ba3ffa9,ELO17170,Backlog Report - Invisible,Primary,Event/Activity at Pathology Building,2017-01-01,2017-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
01ed4720-6ab0-4be5-919c-0c97f98cbf7e,ELO1252,Backlog Report,Primary,Desk Based Assessment at Woodfield Close,2003-09-01,2003-09-30,Backlog,No description is currently available for this record.  Awaiting update.,
01f45ba4-e155-4725-a8f1-df1de822e58f,ELO10770,Backlog Report,Primary,Event/Activity at The Highway,1994-04-01,1994-04-30,Backlog,No description is currently available for this record.  Awaiting update.,
020b1b2f-c1e0-4266-b8de-ed5e4d3e7fd9,ELO9843,Backlog Report,Primary,Event/Activity at South Lane,1996-04-01,1996-04-30,Backlog,No description is currently available for this record.  Awaiting update.,
020b9a62-49c2-4735-bf4d-ac8d99bbd2b8,ELO18455,Backlog Report - Invisible,Primary,Event/Activity at Lambeth College,2011-01-01,2011-12-31,Backlog,No description is currently available for this record.  Awaiting update.,A GIS point was created over the approximate location of the site using OS Master Map as a map base at 1:1250.
021ea210-c3d0-4cb5-9a93-e64be51ec6aa,ELO11014,Backlog Report,Primary,Event/Activity at Chapman Street,2000-04-01,2000-04-30,Backlog,No description is currently available for this record.  Awaiting update.,
02280e7a-c540-447c-bd33-3646445278b7,ELO9806,Backlog Report,Primary,Event/Activity at Knightsbridge Green Site,1998-03-01,1998-03-31,Backlog,No description is currently available for this record.  Awaiting update.,
02365fed-3fc2-4790-ac6c-c288f05eebe6,ELO11226,Backlog Report,Primary,Event/Activity at Olympic Planning Delivery Zone 4,2007-10-02,2008-02-01,Full,An evaluation was carried out at Planning Delivery Zone 4 of the Olympic site by Museum of London Archaeology Service/Pre-Construct Archaeology between 2007 and 2008.  The evaluation found two parallel brick walls of 19th/early 20th Century date which had been infilled.  These walls probably represent a water management system which may have been associated with the reservoir which was located to the north. *Natural deposits were not observed.*,A polygon was drawn over the approximate area of the site at a scale of 1:1250 OS based on Master Map and a site location plan in the report.
023a9c02-20c1-4247-b1e4-a7aabf55de59,ELO4758,Backlog Report,Primary,Trial Trench at Turk's Boatyard,1990-01-01,1990-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
02530e4e-d523-4db0-a897-260c8a02a93b,ELO18378,Backlog Report - Invisible,Primary,Event/Activity at Western Caol Drops,2009-01-01,2009-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
0265f610-7234-4d40-9950-a78647b516d9,ELO18229,Backlog Report,Primary,Excavation at Norman House,2017-11-19,2017-11-21,Full,"Archaeology South-East was commissioned by CgMs Ltd to undertake an archaeological trial pit evaluation at Norman House, The Strand between the 19th and 21st of November 2017. The work comprised the monitoring of the excavation of three trial pits within the basement of Norman House to the formation level of the proposed development. Natural alluvial deposits were only observed within trial pit TP2, where they were truncated by modern basement foundations and foundation pads. The sequence in the other trial pits only illustrated made ground deposits lying directly under the concrete floor slab to the proposed formation level. In TP3, a service pipe void was identified beneath the slab that confirmed no new (undisturbed) ground would be impacted by the proposed development at this location. No archaeological finds or features were observed. As the evaluation identified natural geological deposits directly underneath the basement foundations, it is likely that any archaeological remains have been removed by the construction of the extant Norman House building.",A GIS point was created over the approximate location of the site using OS Master Map as a map base at 1:1250.
02713dfe-7bb3-4382-99c3-9b0d3b5ff271,ELO10930,Backlog Report,Primary,Event/Activity at Imperial College Boat Club,1996-12-18,1996-12-23,Backlog,No description is currently available for this record.  Awaiting update.,
02732e1d-d9e2-45f9-93ca-cbb891153535,ELO18555,Backlog Report - Invisible,Primary,Event/Activity at Former St Michaels Convent,2018-01-01,2018-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
029e313d-fa9a-46c6-bae0-7c4f51fa7de4,ELO13132,Backlog Report,Primary,Event/Activity at St Dunstan's Church,2012-07-01,2012-07-31,Full,"A photographic Survey was undetaken on the vestry of St Dunstan's Church, Cranford in July 2012.",A GIS polygon was drawn over the approximate area of the site. Mapped at 1:1250 using OS MasterMap as a base.
02a85b76-2615-479a-9390-e36d8b1e755a,ELO17859,Backlog Report,Primary,Desk Based Assessment at Old Street,2015-08-01,2015-08-31,Full,"In August 2015 Museum of London Archaeology conducted a historic environment assessment in advance of proposed development at 112-116 Old Street.  It was found that there is high potential to encounter the remains of mid-18th Century buildings, such as wall footings and cellars, quarry pits and reclamation/dump deposits of low heritage significant. There was extensive residential development of the area from the mid-18th Century. It was also found that there is potential for Medieval structural remains, possible associated with agriculture. Such remains were identified just to the east of the site. These would be of medium heritage significance. It is also concluded that there is low to moderate potential for evidence of Roman activity such as roadside ditches (of moderate significance), agriculture or quarrying (low significance). It is suggested that Old Street follows the alignment of a Roman road.  Archaeological survival is thought to be high across 75% of the site outside the footprint of existing basements located in northern and central sections of the site. The existing basement is thought to have truncated or completely removed any archaeological remains from within its footprint.",A GIS polygon was created over the approximate location of the site using OS Master Map as a map base at 1:1250.
02d4bf18-1517-40eb-b308-78a9e72212ed,ELO17682,Backlog Report - Invisible,Primary,Event/Activity at Bermondsey Street,2000-01-01,2000-12-31,Backlog,No description is currently available for this record.  Awaiting update.,A GIS point was created over the approximate location of the site using OS Master Map as a map base at 1:1250.
02daa05d-0745-4209-8392-5343f64a6edf,ELO13802,Backlog Report,Primary,Event/Activity at ARK Putney Academy,2013-11-21,2013-11-21,Full,"Building recording was undertaken at the gymnasium at ARK Putney Academy, Pullman Gardens on the 21st November 2013 by KM Heritage.  The gym block was built in 1955-6 and remains largely unaltered in its form and character.",A GIS polygon was drawn over the approximate area of the site. Mapped at 1:1250 using OS MasterMap as a base.
02f64d5d-54f4-4aec-bebe-28c50840ec58,ELO15919,Backlog Report,Primary,Watching Brief at Neptune Court National Maritime Museum,1998-12-09,1998-12-09,Full,"Between November 1998 and February 1999 the Museum of London Archaeology Service was commissioned to undetake an archaeological watching brief at Neptune Court, National Maritime Museum, Greenwich, London.  The watching brief proceeds a series of works that have been undertaken at the site starting with an evaluation in October 1996. The 1998-99 watching brief monitored further works (the Mast Trench, Drainage Trench and Gun Walk) to the south and mostly to the north of Neptune Court.  The Gun Walk draw pits (1m x 1m) and trench comprised of six pits (A to F) either side of the walkway between the Gun Gate and the southern edge of the original turf line. The eastern side was examined on the 9th December 1998 and the western on the 15th February 1999. The pits linked a shallow service trench backfilled at the time of inspection. No features or finds were observed other than a plaster deposit within the trench and pits E and F corresponding with a plaster deposit observed at an earlier date within the area of the Hall.",
030a548f-d38f-4709-93f0-84ad427c13a2,ELO10034,Backlog Report,Primary,Event/Activity at Swan Inn Public House,2001-02-19,2001-02-19,Backlog,No description is currently available for this record.  Awaiting update.,
030af66b-2167-4cb3-b6b5-bf9436340d32,ELO10879,Backlog Report,Primary,Event/Activity at Prices Candle Factory,1996-10-04,1996-10-25,Backlog,No description is currently available for this record.  Awaiting update.,
0311e998-6155-4bb9-a36b-205df05dbb9b,ELO3782,Backlog Report,Primary,Watching Brief at P&O Land Holdings,1999-01-01,1999-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
0320b2fb-d7ea-4b22-a685-25f3e5c28317,ELO16780,Backlog Report,Primary,Event/Activity at Clerkenwell Road,1978-01-01,1978-12-31,Full,An excavation by the Inner London Archaeology Unit in 1978 was carried out at 120 Clerkenwell Road.  Undated features and Post Medieval finds wre recovered.,A GIS polygon was drwan over the approximate extent of the site. No site plan avalible. Mapped at 1:1250 using OS MasterMap as a base.
032984dd-8564-422d-bb89-c70b00775f41,ELO17577,Backlog Report - Invisible,Primary,Event/Activity at Victoria Mains Replacement Works,2012-01-01,2012-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
03566914-a625-4763-ba56-1a406ff907b0,ELO9162,Backlog Report,Primary,Event/Activity at Cranmer Road,1994-01-01,1994-01-31,Backlog,No description is currently available for this record.  Awaiting update.,
0356861f-fdb4-4e51-ba0d-14972a58b322,ELO17677,Backlog Report,Primary,Watching Brief at Ministry of Defence,2016-10-18,2016-10-20,Full,"In October 2016 Pre-Construct Archaeology conducted an archaeological watching brief at Raleigh Green, Ministry of Defence, in advance of the installation of a new service duct. The watching brief involved the archaeological monitoring of the excavation of the new service trench, which extended 17.4m in length and was 0.36m wide and 0.60m in depth.  No archaeology was encountered on site and there was no evidence of human occupation prior to the 20th Century. The earliest deposit related to the construction of the MoD buildings between 1938 and 1959.",A GIS polygon was created over the approximate location of the site using OS Master Map as a map base at 1:1250.
036298ca-a9e5-4372-b476-d570f0ad50e3,ELO3984,Backlog Report,Primary,Trial Trench at Mayday University Hospital - New Energy Centre,1996-01-01,1996-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
036c2bd8-c35c-40e7-a54d-32a663b8c311,ELO18686,Backlog Report - Invisible,Primary,Event/Activity at 777 London Road,2016-01-01,2016-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
03789389-3725-43e9-a9b5-bba549b922fe,ELO3065,Backlog Report,Primary,Trial Trench at Former University of Kingston Annexe,1995-01-01,1995-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
03a2556a-8f79-4927-926c-56c7187588ca,ELO17026,Backlog Report,Primary,Event/Activity at Mosaic Place,2016-05-01,2016-05-31,Full,"A heritage statement was created for Mosaic Place, Purley in May 2016 by Geoff Noble Heritage. The report concludes that the proposed development will considerably change the setting of the nearby Listed Building, however this is not thought to effect the significance of the building.",GIS polygons were drawn over the approxiamte area of the development. Mapped at 1:1250 using OS MasterMap as  a base.
03a6d240-f4c6-4bcf-88ab-e597462561fe,ELO9312,Backlog Report,Primary,Event/Activity at Royal Arsenal,1995-01-01,1995-12-31,Backlog,No description is currently available for this record.  Awaiting update.,GIS polygon mapped on OS 10K 2006 map at 1:5000 roughly. 04/08/2009.
03ad0aa5-e8e6-45a4-a13a-c2d8fd129457,ELO18691,Backlog Report - Invisible,Primary,Event/Activity at site C - Land Between Anderson Way and Bronze Age Way Belvedere,2015-05-22,2015-05-22,Backlog,No description is currently available for this record.  Awaiting update.,
03af9fa3-8093-4588-8801-c8808f0f595a,ELO14083,Backlog Report,Primary,Event/Activity at Brixton Water Lane,2014-06-01,2014-06-30,Full,"A heritage statement was created for 66 Brixton Water Lane, Lambeth in 2014 by David Cook Architects. The proposals are considered to have a minimal effect on the building.",A GIS polygon was created over the approximate area of the site. Mapped at 1:1250 using OS MasterMap as a base.
03be6b50-4581-4fd9-9b4a-7109d6820da4,ELO1687,Backlog Report,Primary,Excavation at 64-68 Rectory Grove,1984-01-01,1984-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
03cac911-1948-4f44-9a1f-c6d885b3e1db,ELO10787,Backlog Report,Primary,Event/Activity at The Broadway,1998-07-20,1998-07-20,Backlog,No description is currently available for this record.  Awaiting update.,
03cf4382-01c4-4e2d-83e8-6e7d6c67bcc5,ELO18414,Backlog Report - Invisible,Primary,Desk Based Assessment at Cray Avenue/ Cray Valley Way,2017-01-01,2017-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
03cfa799-7d45-49ac-ba27-4e37679a9a2b,ELO18735,Backlog Report - Invisible,Primary,Event/Activity at Charlton Park Lane Woolwich Royal Borough of Greenwich,2014-01-01,2014-12-31,Backlog,No description is currently available for this record.  Awaiting update.,A GIS polygon was created over the approximate location of the site using OS Master Map as a map base at 1:1250.
03e53fa2-56ee-4553-a0de-6998d6bbc49c,ELO9654,Backlog Report,Primary,Event/Activity at Tanner's Hall,1998-04-07,1998-04-28,Backlog,No description is currently available for this record.  Awaiting update.,
03e6227f-aca8-4eb6-b842-11928061c46c,ELO10137,Backlog Report,Primary,Event/Activity at Fort Street,1994-06-01,1994-06-30,Backlog,No description is currently available for this record.  Awaiting update.,
03f2e29e-7e66-41bb-8c92-1dd78460df2b,ELO15386,Backlog Report,Primary,Event/Activity at Edgware Way Golf Course,2015-10-22,2015-10-27,Full,An evaluation was undertaken at Edgware Golf Course between the 22nd-27th October 2015 by AOC Archaeology.  The site cmprised five trial trenches and alothough no archaeological features were identified some Medieval and Post Medieval pottery was recovered from the topsoil. *Natural clay was obseved between 74.49 and 78.61m OD*,A GIS polygon was drawn over the approxiamte area of the site. Mapped at 1:1250 using OS MasterMap as a base.
03f73cac-b7f7-4ea4-bff2-144958fe6331,ELO17701,Backlog Report - Invisible,Primary,Event/Activity at Queens Road,1999-01-01,1999-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
03f85a2b-c066-4374-8ff3-e6ac7aeb1e2b,ELO9786,Backlog Report,Primary,Event/Activity at Leadenhall Street,1997-12-01,1997-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
04126a0f-4e12-4cb8-8fe0-a4bc60f68e57,ELO13082,Backlog Report,Primary,Event/Activity at East Hall Farm,2013-02-11,2013-02-12,Full,"Field walking was undertaken on fields at East Hall Farm, Rainham between the 11th to 12th February 2013 by Thames Valley Archaeological Services.  The survey recovered worked flint and pottery of a number of periods. The Later Neolithic--Bronze Age, Iron Age, Roman, Saxon, Medieval and Post Medieval periods were all recorded. For the late Neolithic/Bronze Age, a clustered scatter of struck flint suggests the presence of an occupation site whereas the pottery finds would appear to represent scatters formed by the manuring of farmland. Single sherds of Iron Age and Saxon pottery are of uncertain significance.",GIS polygons were drawn over the approximate area of the survey. Mapped at 1:1250 using OS MasterMap as a base.
0433f367-561a-4bf5-a0a9-d92b08958d55,ELO18630,Backlog Report,Primary,Watching Brief at Sacred Heart School,1991-03-01,1991-03-31,Full,"In March 1991 the Department of Greater London Archaeology conducted a watching brief at the Sacred Heart School. Six test pits were excavated but only five were recorded. Three were examined in detail.  In test pit 1, natural brick earth was observed. Fragments of Tudor brick, Kentish ragstone and a sherd of Medieval green-glazed white ware were recovered.  In test pit 2 a rectangular feature with rounded corners was observed infer the modern tarmac. This is possibly a soak-away or cess pit. The feature was back-filled with demolition rubble and Post Medieval pottery and is thought to be associated with the Portuguese embassy or Catherine of Braganza's religious community.  In test pit 3, 2.20m below ground surface was a slab from an earlier basement. Directly beneath the slab was a layer of orange sandy clay, which sealed an orange-brown clay-gravel layer (probably a dump of material). The lowest layer recorded with a compact sandy-clay, thought to be disturbed natural. In test pit 4, the uppermost 1.2m had been disturbed by modern intrusions. Below this disturbance were three stratified deposits: a dark grey-brown-sandy-silty-clay with shell and charcoal inclusions, a black silty charcoal band (interpreted as residue from a hearth) and a compact  brown sandy-clay. These were above the natural brick earth.  In test pit 5 the top 1.20m comprised the present slab and its make up. Beneath this were two layers of brown sandy-clays with lenses of gravel. These are thought to be from an earlier phase of construction, associated with the brick floor underneath. These bricks are thought to post-date 1700.  The test pits revealed finds and archaeological features consistent with the known Medieval and Post Medieval activity on the site.  This watching brief has highlighted the survival of stratified deposits on the site, beneath the existing structures.",A GIS polygon was created over the approximate location of the site using OS Master Map as a map base at 1:1250.
044b628b-0cbf-4da3-978a-45d9ae814f80,ELO14113,Backlog Report,Primary,Event/Activity at Kingston Road,2013-04-01,2013-04-30,Full,"A desk based assessment was undertaken in April 2013 at 171-173 Kingston Road, New Malden by CgMs Consulting.  The site is thought to have a low potential for all archaeological periods.",A GIS polygon was drawn over the approximate area of the site. Mapped at 1:1250 using OS MasterMap as a base.
044e2994-b4a0-4b2f-abbc-032501791a8f,ELO10020,Backlog Report,Primary,Event/Activity at Ravensbury School,1992-01-01,1992-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
048be621-d52b-4184-b93e-473157365af8,ELO4147,Backlog Report,Primary,Watching Brief at National Maritime Museum,1996-01-01,1996-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
0496ebe1-ddda-4847-976e-4492aba03480,ELO9719,Backlog Report,Primary,Event/Activity at Gresham Street,2002-09-01,2002-09-30,Backlog,No description is currently available for this record.  Awaiting update.,
