ResourceID,Geometry,External Cross Reference Source,External Cross Reference Number,Event Type,AdminArea,AdminAreaType,Currency,Address Status,Building Name,Building Number SubStreet,SubStreet,Building Number,Street,Locality,Town,Postcode,EventUID,RecordType,Name Type,Name,DateFrom,DateTo,Description Type,Description,Notes
05df7d0a-8aae-4dec-90d5-f0c36354248d,,,,,,,,,,,,,,,,,,,,,,,,,
06238191-72b7-4111-adc9-2a9c4b37facc,,Site Code,SRBM 16,Watching Brief,Wandsworth,Borough,Current,Primary,,,,26,Stewarts Road,,London,SW8 4DQ,ELO18135,Event - Intervention,Primary,Watching Brief at Stewarts Road,2016-09-15,2016-09-23,Full,"In September 2016 Pre-Construct Archaeology was commisioned to undertake archaeological monitoring and recording during the excavation for a new access shaft to the new substation at 26 Stewarts Road, Battersea, London.  The archaeological monitoring comprised the monitoring of excavation of the upper part of the shaft for the new substation. The shaft location had been defined prior to the start of excavations, circular in plan and with a diameter of 8m.  Within the shaft two horizons were recorded. The upper horizon consisted of the existing concrete floor of the building, with modern make-up layers beneath this. Horizon (100) encountered at a depth of 2.25m below the existing ground level was a mix of demolition material, hardcore and soil identified as 20th Century material.   Beneath this was a light yellow brown mixed sand and gravel deposit (101). The gravels were small - medium sized water-worn pebbles, and interpreted as river terrace deposits. This was recorded to a depth of c.4m below EGL at which point the water tabkle was encountered.  No significant archaeological horizons were encountered.",
06238191-72b7-4111-adc9-2a9c4b37facc,,OASIS ID,preconst3-265816,,,,,,,,,,,,,,,,,,,,,,
067cfa94-3575-4b33-928a-4719178123ce,,Site Code,HCC93,Watching Brief,Hackney,Borough,Current,Primary,Hackney Community College,,,,Falkirk Street,,London,N1,ELO3549,Event - Intervention,Primary,Watching Brief at Hackney Community College,1993-07-04,1993-07-12,Full,"Evaluation by M. Burch for Museum of London Archaeology Service, July 1994; site code HCC 93. Other than features associated with, and remains of, late 18th Century and 19th Century housing, the only features found were extensive and large brickearth quarries which had been backfilled prior to the housing construction, plus one undated ditch (082704).  Periods recorded under same site code: post-med (082703); undated (082704).",
0713586f-457b-46e5-a8d0-96eb68f8661c,,Site Code,FAO90,Excavation,City of London,Borough,Current,Primary,,,,75-82,Farringdon Street,,London,EC4,ELO15113,Event - Intervention,Primary,Excavation at Site of St. Brides churchyard,1990-01-01,1990-12-31,Full,"An excavation by the Department of Urban Archaeology at the site of St Bride's Churchyard, 75-82 Farringdon Street and 20-30 St Bride Street, City of London EC4.  River-lain clay above natural river gravels was cut by a single 13th-14th Century pit. Crossing the site from north-west to south-east was a vaulted brick drain which predated a cellared building of c 1650. Within the building were two brick-lined cesspits and the remains of floor surfaces and internal walls. The building was demolished between 1720 and 1750. To the north-east were traces of a wooden structure dated to the mid-16th-mid-17th Century. In 1610 a burial ground was opened on the site; 606 burials, dating to between 1770 and 1849, were recovered during the excavations. Most of the burials were in wooden (elm) coffins, stacked up to eight deep, which in turn formed nine intercutting north to south rows across the site, in at least two phases. At the west end of the site a brick burial vault, truncating the earlier cellared building, contained 47 burials in coffins and a further 75 individuals that had been pushed to the far end of the vault to create space.",
08f47d55-5889-4202-8281-0a66b1f1466b,,,,Desk Based Assessment,City of Westminster,Borough,Current,Primary,,,,23,Devonshire Place,,London,W1,ELO17799,Event - Interpretation,Primary,Desk Based Assessment at Devonshire Place,2005-05-01,2005-05-31,Full,"Archaeological impact assessment carried out by E Howe on behalf of Museum of London Archaeology Service during May 2005.  This report presents the results of desk-based assessment work carried out by the Museum of London Archaeology Service on the site of 23 Devonshire Place, London, WI. The report was commissioned by The London Clinic. The site lies within the Marylebone village Area of Special Archaeological Priority as defined by the City of Westminster. No. 23 Devonshire Place is a Grade 11 Listed  building and falls within the Harley Street Conservation Area.  The report considers the archaeological potential of the site, and the likely impact on this of the proposed redevelopment. The site lies in an area of low potential for archaeological remains of the Prehistoric, Roman and Saxon periods. There is low medium potential for archaeological remains dating to the Medieval period and high potential for the Post Medieval period. The rear part of the site is unbasemented and remains associated with Dove House may survive in this area. The scheme is yet to be finalised but it is currently thought that the principal impact of the proposed works will involve the removal of areas of archaeological deposits and. features in new areas of excavation. The report concludes that archaeological monitoring of any geotechnical test pits should take place and that an archaeological watching brief should take place during any groundworks.",A GIS point was created over the approximate location of the site using OS Master Map as a map base at 1:1250.
0908648f-0960-40be-92fc-071ac26e6021,,OASIS ID,molas1-63734,Desk Based Assessment,City of Westminster,Borough,Current,Primary,,,,"9, 11",Duke Street,,London,W1,ELO17798,Event - Interpretation,Primary,Desk Based Assessment at Duke Street,2005-08-01,2005-08-31,Full,"Desk-based assessment work carried out by the Museum of London Archaeology Service in Augues 2005 on the site of 9 and 11 Duke Street and 1 Duke's Mews, London, W1. The report was commissioned by the Portman Estate. The site falls just outside the Tyburn Area of Special Archaeological Priority and is located in a significant archaeological and historical area. This lies just to the north of the ancient highway Oxford Street and includes the former Tyburn village, both of which have been the focus of occupation since the Roman period. The focus of the Medieval village eventually moved northward, to become Marylebone, and so until the late 18th Century, the site became rural ground adjacent to the river Tyburn and north  of the Roman road. The impact of the proposed works is limited below 9 and 11 Duke Street, where the new basement level is only between 0.3 and 0.8m below the existing floor of No 9 and no deeper under No 11. However, the new basement extends under 1 Duke's Mews, which currently does not have a basement. In this area the work proposed will involve the removal of any archaeological deposits and features that may be present. It is recommended that any geotechnical pits planned should be monitored to confirm these conclusions and to help determine what further archaeological work is required for this site. It is likely that further investigation may be required, in the form of field  evaluation, in the area of 1 Duke's Mews.",9 and 11 DUKE STREET and 1 DUKE'S MEWS A GIS point was created over the approximate location of the site using OS Master Map as a map base at 1:1250.
0908648f-0960-40be-92fc-071ac26e6021,,,,,,,Alternate,,,,1,Duke's Mews,,,,,,,,,,,,
0933cd19-1e0e-4bc8-b607-397894ef8ac6,,Site Code,SGH15,Building Survey,Wandsworth,Borough,Current,Primary,Former Deaf Children's Care Centre,,,,Hebdon Lodge,,London,SW17 7NJ,ELO18202,Event - Survey,Primary,Building Survey at Former Deaf Children's Care Centre,2015-12-14,2015-12-14,Full,"CgMs Consulting commissioned Pre-Construct Archaeology to undertake historic building recording at the Fomer Deaf Children's Care Centre, Hebdon Lodge, Springfield Hospital.  The record followed an English Heritage Level 1 survey.  The lodge was originally built as a pair of detatched villas between 1921 and 1948. They were constructed in the Arts and Crafts Style which was sympthetic to the Neo-Tudor treatment of the original asylum. They were constructed as on-site accomodation for doctors.",A GIS polygon was created over the approximate location of the site using OS Master Map as a map base at 1:1250.
0933cd19-1e0e-4bc8-b607-397894ef8ac6,,OASIS ID,preconst1-234820,,,,,,,,,,,,,,,,,,,,,,
096457df-f503-4184-9959-6ca0c1b12e35,,,,Aerial Photography,Bromley,Borough,Current,,,,,,,,,,ELO15379,Event - Survey,Primary,Aerial Photography at Bromley and Croydon AP Pilot Project,2015-10-01,2016-07-30,Full,Pilot NMP assessment for Bromley and Croydon,
096457df-f503-4184-9959-6ca0c1b12e35,,,,,Croydon,Borough,Current,,,,,,,,,,,,,,,,,,
0b868a60-5068-4307-a547-6b63a85518c6,,,,Desk Based Assessment,City of Westminster,Borough,Current,Primary,Ministry Of Defence,,,,Horse Guards Avenue,,London,SW1,ELO17969,Event - Interpretation,Primary,Desk Based Assessment at Ministry Of Defence,2004-01-01,2004-12-31,Full," desk-based assessment work carried out by the Museum of London Archaeology Service on the site of the Ministry of Defence Offices, Whitehall in 2004",
0b97ca2b-a287-4849-ac32-a2176f0fc48e,,Site Code,CSF10,Watching Brief,City of London,Borough,Current,,,,,,,,,,ELO15110,Event - Intervention,Primary,Watching Brief at Cycle Hire Sheme,2010-01-28,2010-02-24,Full,"An archaeological watching brief by Museum of London Archaeology between 28th January and 24th February, 2010, on Crosswall, City of London.  The excavation of a single dropshaft was monitored. Archaeological deposits comprising a horizontal sequence of dumped material were recorded within the dropshaft. Dating evidence retrieved from these deposits suggested that the earliest deposition occurred in a period between the late 16th and mid 17th Century. The deposits contained small amounts of residual artefactual material from the Roman and Medieval periods.  The natural sand/gravel was observed at 8.7m OD.*",
0d70d7f6-73f0-4448-b1c4-e65231358d7a,,Site Code,LPD02,Watching Brief,Lambeth,Borough,Current,Primary,Lambeth Palace Forecourt,,,,Lambeth Palace Road,,London,SE1,ELO15133,Event - Intervention,Primary,Watching Brief at Lambeth Palace Forecourt,2002-04-03,2002-04-03,Full,"In April 2002 the Museum of London Archaeology Service was commissioned to undertake an archaeological watching brief during the installation of floodlighting at the base of Morton's Tower and Gate, Lambeth Palace.   A shallow electricity cable trench was excavated around the outside of the building. The cable was laid along the south and west sides of the gatehouse, following the contours of the building.  Monitoring of the groundworks revealed only 19th Century levelling deposits, however the foundations of the gatehouse and of the west tower were located along with the contemporary construction level. These took the form of the dressed stone base of the west tower and the base of the east pillar of the gateway arch showing that the ground level had been raised by an average of 0.5m since construction of the building.",A GIS Line was mapped along the approximate location of the site using OS MasterMap as a map base at 1:500
0d91002d-e6c8-41e7-bebd-13a7ecb5149e,,Site Code,CUE86,Watching Brief,City of London,Borough,Current,Primary,,,,Sep-19,Cutler Street,,London,E1,ELO16710,Event - Intervention,Primary,Watching Brief at 9-19 Cutler Street,1986-10-01,1987-01-31,Full,"An archaeological watching brief by the Department of Urban Archaeology at 9-19 Cutler Street, London E1 between October 1986 and January 1987.  The investigation revealed one crushed chalk inhumation, not datable, cut into natural brickearth together with evidence of others disturbed by modern building works. Testpits and ground reduction showed extensive Post Medieval pits sealed by a brick floor and foundations for the standing building.",
0e203581-6f64-4f1f-b782-85d0b4b34edb,,,,Desk Based Assessment,Islington,Borough,Current,Primary,The Smithfield Tavern,,,105,Charterhouse Street,Islington,London,,ELO17856,Event - Interpretation,Primary,Desk Based Assessment at The Smithfield Tavern,2016-02-01,2016-02-29,Full,Arcgaeology Collective carried out a Desk based assessment of the archaeological potential of the site at The Smithfield Tavern in February 2016.    The report states that there is a high potential for Roman activity and Medieval activity. Moderate to high potential for Post Medieval remains to be present and low potential.  Monitoring of geotechnical work is recommended.,A GIS polygon was created over the approximate location of the site using OS Master Map as a map base at 1:1250.
0e62de1c-6d7d-4ad3-955d-d647c31da0e5,,Site Code,RLP05,Watching Brief,Tower Hamlets,Borough,Current,Primary,Royal London Hospital,,,,Whitechapel Road,,London,E1,ELO14383,Event - Intervention,Primary,Watching Brief at Royal London Hospital,2006-02-20,2006-02-22,Full,"An archaeological watching brief by Museum of London Archaeology Service between the 20th and 22nd of February, 2006, at the Royal London Hospital site.  No significant archaeological deposits were identified during the excavation due to the area concerned consisting wholly of disturbed ground resulting from the installation of the aforementioned services. A small amount of disarticulated human bone was retrieved.   *Natural gravel was observed at 9.70m OD.*",
0e644ce1-d286-4b88-8800-35be32ed89eb,,Site Code,LBT86,Evaluation,City of London,Borough,Current,,,,,,,,,,ELO9248,Event - Intervention,Primary,Evaluation at Little Britain,1995-08-01,1995-09-30,Full,"An archaeological evaluation and watching brief (LBT86) by the Museum of London Archaeology Service in 1995 at Little Britain, City of London, EC3.  The watching brief on the north side of Little Britain revealed disturbed natural brickearth overlaid by apparently waterlaid deposits, which may confirm documentary references to this area being marshy. The waterlaid deposits were succeeded by pits, undated and severely truncated by the insertion of the present 19th Century basements. An evaluation on the south side of Little Britain recorded the natural brickearth cut by several large features - quarry pits and/or ditches - and smaller pits, all of Roman date. Above the fill of one of these ditches was a gravel surface associated with two postholes. A thick, undated deposit covered the site and was cut by a large east-west ditch, the fill of which is dated mid-11th to mid 12th Century. Stakes had been driven into the sides of the ditch, possibly as a defensive measure; the ditch may have been part of the City Wall defensive system. It was succeeded by dump layers of probable Post Medieval date and truncated Post Medieval pits.",
0e644ce1-d286-4b88-8800-35be32ed89eb,,,,Watching Brief,,,,,,,,,,,,,,,,,,,,,
0e96f7d0-44c0-43d5-8098-77c3ab5824c9,,,,Watching Brief,Enfield,Borough,Current,Primary,Forty Hall,,,,Forty Hill,,Enfield,EN2 9HA,ELO7502,Event - Intervention,Primary,Watching Brief at Site of Elsyng Palace,1967-01-01,1967-12-31,Full,"A watching brief was conducted when the North Thames Gas Board took the North Orbital Gas Main across the site of Elsyng Palace in 1967.  The trench was 6 feet wide and it run about 100ft NE of the 1963/66 excavation area. It cut through buildings, drains and the continuation of the moat found in 1963.  These structures suggest that they represent the northern most extend of the main Tudor buildings.",
0f7332dc-2aac-44f0-be71-c4796e073d6d,,,,Desk Based Assessment,Hackney,Borough,Current,Primary,,,,14,Holywell Row,,London,EC2A 4JB,ELO17818,Event - Interpretation,Primary,Desk Based Assessment at Holywell Row,2016-01-01,2016-01-31,Full,"In January 2016 AB Heritage was commissioned to undertake an archaeological desk based assessment at 14 Holywell Row.  The report concludes that there is a medium potential for the potential for archaeological features to be present beneath the surface of the proposed development site. These date to the Medieval and / or Post Medieval period, with low - medium potential for the presence of features of all other dates. Features may relate to a former Georgian building at 14 Holywell Row. It was recommended that an archaeological Watching Brief be undertaken during initial groundworks as part of the basement construction.",
0faca137-c311-4d25-b684-5af1842f9cbc,,,,Desk Based Assessment,City of London,Borough,Current,Primary,,,,20,Fenchurch Street,,London,EC1,ELO8992,Event - Interpretation,Primary,Desk Based Assessment at Fenchurch Street,2008-11-01,2008-11-08,Full,A desk based assessment was carried out on 20 Fenchurch Street in 2008 by Museum of London Archaeology. The assessment was done due to a change in plans for the development and as such this is a supplement to the previous 2008 assessment. The repost concludes that following excavations that were taking place on site the development proposals who have no impact on the archaeology.,
10753ec7-8def-404c-a58f-a8a7a95fba64,,,,Desk Based Assessment,Greenwich,Borough,Current,Primary,Deptford Creek Marine Works,,,,Creek Road Bridge/ Deptford Creek Lifting Bridge,,London,,ELO18582,Event - Interpretation,Primary,Desk Based Assessment at Deptford Creek Marine Works,2018-02-01,2018-02-28,Full,"Pre-Construct Archaeology Limited were commissioned to undertake an archaeological desk based assessment of a site within the Deptford Creek channel, which is defined to the north by the Creek Road Bridge and to the south by the railway Deptford Creek Lifting Bridge.   It was concluded that there is a low potential for encountering archaeological evidence from Prehistoric, Roman and Early Medieval periods. There is a low to moderate potential for Medieval and Post Medieval periods. There is thought to be a high potential for the preservation of palaeoenvironmental evidence sealed within alluvial and peat deposits. There is a low potential for riverside structures, such as Prehistoric timber trackways, revetments, jetties and platforms of all periods. 19th Century river walls are likely to survive at sections of the site boundaries.   The lowest levels of the dredged Deptford Creek within the Site are between +0.75m and +4.25m CD (-2.6M to +0.9m OD), meaning alluvial levels may be present within the Deptford Creek channel. The only perceived earlier impacts on archaeological deposits are tidal scour and maintenance dredging, which ceased around 1970.",A GIS polygon was created over the approximate location of the site using OS Master Map as a map base at 1:1250.
10753ec7-8def-404c-a58f-a8a7a95fba64,,,,,Lewisham,Borough,Current,,,,,,,,,,,,,,,,,,
10c7673f-04f8-4cad-b246-079c723b6cd6,,Site Code,HEP11,Building Survey,City of London,Borough,Current,Primary,,,,Jan-17,Devonshire Row,,London,EC2,ELO16895,Event - Survey,Primary,Building Survey at Heron Plaza,2011-04-06,2011-07-14,Full,"A standing building survey by Museum of London Archaeology at Heron Plaza, London EC2 in 2011.  The buildings investigated were Nos 1, 3 and 5 Stone House Court; Stone House, Nos 128-140 Bishopsgate and Nos 77-84 Houndsditch; Devonshire House (formerly Devonshire Chambers), Nos 142-150 Bishopsgate; a shop front in Devonshire Row; and Staple Hall, Nos 87-90 Houndsditch. All the buildings, except that in Devonshire Row, are to be wholly or partly demolished, and the building in Stone House Court, which is statutorily listed grade II, will be reconstructed. An archaeological investigation and a subsequent report were required as a condition of planning, listed building and conservation area consent for the redevelopment. The investigation took place in April and May 2011. The buildings to the north on the site, in Devonshire Row and Devonshire Chambers, were built in 1878-9, soon after construction by the cut-and-cover method of an underground railway line running from west to east across that part of the site. Devonshire Chambers was designed by Benjamin Tabberer for the Metropolitan Railway Co Ltd. The remaining buildings to the south were built after the land, or leases, there were sold for redevelopment in 1923. Stone House was designed by Richardson and Gill (Sir Albert Richardson and Charles Gill), architects, in 1926 and completed in 1928, while Staple Hall, by the same architectural practice, was completed in 1931. The intention at that time was to create a shopping precinct in a new pedestrian street, Stone House Court, and a Regency-style shop front was built at No 1 Stone House Court to designs by Richardson and Gill around 1931-33. Subsequently the part of the building immediately to the east of this, at Nos 3 and 5 Stone House Court, was refronted to match the Regency-style shop front.",
10cbcc3f-6bc3-4684-a941-34dd43cc4a0d,,Site Code,LRO16,Watching Brief,Sutton,Borough,Current,Primary,,,,717,London Road,North Cheam,Sutton,SM3 9DL,ELO18681,Event - Intervention,Primary,Watching Brief at London Road,2016-07-27,2016-08-04,Full,"An archaeological watching brief was carried out during redevelopment at 717 London Road, Cheam. Intrusive groundworks were monitored between 27th July and 4th August 2016.   The objectives of the watching brief were to record any archaeological remains exposed during works. The initial 0.30m deep excavation across the footprint of both buildings for the raft foundations was monitored. Across the site there were two areas of development that were monitored, 'Area A' at the southeast end of the site closest to London Road, and 'Area B' at the northwest end of the site.  Two small 19th/20th Century rubbish pits of low significance were encountered during the watching brief. It was recommended that no further fieldwork was required.",
10cbcc3f-6bc3-4684-a941-34dd43cc4a0d,,OASIS ID,lparchae1-262613,,,,,,,,,,,,,,,,,,,,,,
1138d0c4-5c46-41f5-a808-65feea648c5c,,,,Desk Based Assessment,Camden,Borough,Current,Primary,,,,109-110,Guildford Street,,London,WC1N 1DP,ELO17908,Event - Interpretation,Primary,Desk Based Assessment at Guildford Street,2017-04-01,2017-04-30,Full,"In April 2017 AB Heritage Archaeological Consultancy was commissioned to undertake an archaeological desk based assessment and Heritage Statement at 109-110 Guilford Street, London.  The report concludes that there is medium potential for Post Medieval archaeology relating to the Civil War Defences. There is low potential for archaeology for all other periods.",
1170cd0a-b00a-400e-ba4b-5425dff2c867,,,,Desk Based Assessment,Ealing,Borough,Current,Primary,,,,83-85,Gunnersbury Lane,Acton,London,W3 8HH,ELO18331,Event - Interpretation,Primary,Desk Based Assessment at Gunnersbury Lane,2017-11-01,2017-11-30,Full,"An Archaeological Desk Based Assessment was carried out by CgMs Consulting in november 2017. They stated that although the site is located within an Archaeological Priority Area, due to the potential for finds from the Palaeolithic and Mesolithic periods, and for the Bronze Age, post-depositional impacts within the site are considered to have had a severe negative archaeological impact, as a result of previous development and demolition. The Proposals included the residential redevelopment of the study site, with associated off street parking and garden spaces. On the basis of the above, no further archaeological mitigation measures are recommended in this particular instance.",A GIS polygon was created over the approximate location of the site using OS Master Map as a map base at 1:1250.
11785209-aeea-4d60-a126-dfde6540ad78,,LPA Planning Reference,16/00471/P,,Croydon,Borough,Current,Primary,Voyager House,,,01-May,Lansdowne Road,,Croydon,,ELO17625,Event - Interpretation,Primary,Desk Based Assessment at Voyager House,2017-07-01,2017-07-31,Full,"Beacon Planning Limited were commissioned to produce a heritage statement in July 2017 as a revision of a heritage statement produced in January 2016 for a previous planning application.  The proposals were considered to cause some harm to the significance of the Whitgift Almshouses (grade I listed) due to an impact on their setting. However, the views are considered to be fleeting and the juxtaposition of old and new is considered to be 'interesting'.  This suggested harm is outweighed by the public benefits of the scheme.",A GIS point was created over the approximate location of the site using OS Master Map as a map base at 1:1250.
11785209-aeea-4d60-a126-dfde6540ad78,,LPA Planning Reference,16/00471/P,,,,,Alternate,,,,,Wellesley Road,,,,,,,,,,,,
119d58dc-42d0-4169-aa00-a00ac50a174e,,Site Code,HFA00,Systematic Fieldwalking Survey,Havering,Borough,Current,Primary,Hole Farm,,,,Folkes Lane,Cranham,Upminster,,ELO1358,Event - Survey,Primary,Systematic Fieldwalking Survey at Hole Farm,2000-10-05,2001-05-29,Full,"Essex County Council Field Archaeology Unit conducted a fieldwalking survey at Hole Farm, Cranham, London Borough of Havering in advance of the proposed Thames Chase community forest as a requirement set down by GLAAS and the Heritage Advice, Management and Promotion Section (HAMP) of Essex County Council. It identified an above average amount of burnt flint for the county, well spread across the area walked. A small concentration of Prehistoric flint flakes were discovered. concentrations of Medieval and Post Medieval pottery were found in the vicinity of the Medieval Beredens Manor.",
